AssetManager,TampRIAPlatform,SponsorFirm,SponsorFirmId,AdvisoryPlatform,SmaStrategy,MorningstarStrategyId,SmaProductType,MorningstarClass,MorningstarClassId,ManagerClass,TotalAccounts,1Q 2016 a,1Q 2016 g,1Q 2016 r,1Q 2016 n,1Q 2016 d,2Q 2016 a,2Q 2016 g,2Q 2016 r,2Q 2016 n,2Q 2016 d,3Q 2016 a,3Q 2016 g,3Q 2016 r,3Q 2016 n,3Q 2016 d,4Q 2016 a,4Q 2016 g,4Q 2016 r,4Q 2016 n,4Q 2016 d,1Q 2017 a,1Q 2017 g,1Q 2017 r,1Q 2017 n,1Q 2017 d,2Q 2017 a,2Q 2017 g,2Q 2017 r,2Q 2017 n,2Q 2017 d,3Q 2017 a,3Q 2017 g,3Q 2017 r,3Q 2017 n,3Q 2017 d,4Q 2017 a,4Q 2017 g,4Q 2017 r,4Q 2017 n,4Q 2017 d,1Q 2018 a,1Q 2018 g,1Q 2018 r,1Q 2018 n,1Q 2018 d
,Schwab,Schwab,N/A,Managed Account Access,Mid Cap,F00000JVJ1,Traditional,Mid-Cap Value,N/A,Mid Cap,21,4.28,0.143,0,,--,4.41,0,0,0,--,4.51,0,0.249,-0.249,--,4.71,0,0,0,--,4.92,0,0,0,--,4.76,0,0,0,--,5.36,0.296,0,0.296,,6.91,1.69,0,1.69,--,6.7,0,0.121,-0.121,--
,Schwab,Schwab,N/A,Managed Account Access,Small Cap,F00000JVRH,Traditional,Small Blend,N/A,Small Cap,2,1.4,0,0,,--,1.41,0,0,0,--,1.51,0.734,0.714,0.02,--,1.4,0,0,0,--,1.39,0,0,0,--,1.43,0,0,0,--,1.48,0,0,0,,1.46,0,0,0,--,1.44,0,0,0,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SMArtX,SMArtX,N/A,SmartXchange UMA Program,Balanced,F00000J8TH,Model-Delivered,Allocation,N/A,Balanced,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,SMArtX,SMArtX,N/A,SmartXchange UMA Program,Focused Value,F00000Q3ZF,Model-Delivered,Mid-Cap Value,N/A,Focused Value,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,SMArtX,SMArtX,N/A,SmartXchange UMA Program,Mid Cap,F00000JVJ1,Model-Delivered,Mid-Cap Value,N/A,Mid Cap,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,SMArtX,SMArtX,N/A,SmartXchange UMA Program,All Cap,F00000JVJ0,Model-Delivered,Large Value,N/A,All Cap,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,SMArtX,SMArtX,N/A,SmartXchange UMA Program,Small Cap,F00000JVRH,Model-Delivered,Small Blend,N/A,Small Cap,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,SMArtX,SMArtX,N/A,SmartXchange UMA Program,REIT,F00000XX8J,Model-Delivered,Real Estate,N/A,REIT,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,SMArtX,SMArtX,N/A,SmartXchange UMA Program,SMID,F00000ML4H,Model-Delivered,Small Blend,N/A,SMID,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,SMArtX,SMArtX,N/A,SmartXchange UMA Program,Select Dividend,F00000XS3J,Model-Delivered,Large Value,N/A,Select Dividend,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,--,,,,,--
,Natixis,Natixis,N/A,Natixis UMA Program,Balanced,F00000J8TH,Model-Delivered,Allocation,N/A,Balanced,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Natixis,Natixis,N/A,Natixis UMA Program,Focused Value,F00000Q3ZF,Model-Delivered,Mid-Cap Value,N/A,Focused Value,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Natixis,Natixis,N/A,Natixis UMA Program,Mid Cap,F00000JVJ1,Model-Delivered,Mid-Cap Value,N/A,Mid Cap,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Natixis,Natixis,N/A,Natixis UMA Program,All Cap,F00000JVJ0,Model-Delivered,Large Value,N/A,All Cap,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Natixis,Natixis,N/A,Natixis UMA Program,Small Cap,F00000JVRH,Model-Delivered,Small Blend,N/A,Small Cap,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Natixis,Natixis,N/A,Natixis UMA Program,REIT,F00000XX8J,Model-Delivered,Real Estate,N/A,REIT,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
