AssetManager,TampRIAPlatform,SponsorFirm,SponsorFirmId,AdvisoryPlatform,SmaStrategy,MorningstarStrategyId,SmaProductType,MorningstarClass,MorningstarClassId,ManagerClass,TotalAccounts,1Q 2016 a,1Q 2016 g,1Q 2016 r,1Q 2016 n,1Q 2016 d,2Q 2016 a,2Q 2016 g,2Q 2016 r,2Q 2016 n,2Q 2016 d,3Q 2016 a,3Q 2016 g,3Q 2016 r,3Q 2016 n,3Q 2016 d,4Q 2016 a,4Q 2016 g,4Q 2016 r,4Q 2016 n,4Q 2016 d,1Q 2017 a,1Q 2017 g,1Q 2017 r,1Q 2017 n,1Q 2017 d,2Q 2017 a,2Q 2017 g,2Q 2017 r,2Q 2017 n,2Q 2017 d,3Q 2017 a,3Q 2017 g,3Q 2017 r,3Q 2017 n,3Q 2017 d,4Q 2017 a,4Q 2017 g,4Q 2017 r,4Q 2017 n,4Q 2017 d,1Q 2018 a,1Q 2018 g,1Q 2018 r,1Q 2018 n,1Q 2018 d
Legg Mason,-,Wells Fargo Advisors,,Private Advisor Network,LM MDA 3 SMA,LMMDA3,Dual Contract,-,,Large Blend ,0.063,32.166844,0.03805,-0.46368408,-0.42563408,0,32.488244,0.150903,-1.62632993,-1.47542693,0,33.281774,1.00163765,-0.70236093,0.29927672,0,32.822467,0.30811498,-0.35366257,-0.04554759,0,31.424251,1.83227002,-0.09807825,1.73419177,0,30.993447,0.015,-0.17338213,-0.15838213,0,32.596,0.57619157,-0.28150037,0.2946912,0,33.077584,0.19777562,-1.29926304,-1.10148742,0,32.388907,0,-0.09933888,-0.09933888,0
Legg Mason,-,Baird,,No Program Name,LM MDA 3 SMA,LMMDA3,Dual Contract,-,,Large Blend ,0.081,29.052784,0.61635665,-0.394973,0.22138365,0,29.795924,0.350534,-0.1271816,0.2233524,0,29.758133,0.20565884,-0.02678481,0.17887403,0,29.598739,0.314122,-0.59864121,-0.28451921,0,30.410451,0.26326,-0.66671629,-0.40345629,0,30.456495,0.0259677,-0.1106521,-0.0846844,0,31.850074,1.9,-0.71094525,1.18905475,0,32.857381,0.135295,-0.76736196,-0.63206696,0,30.911069,0,-0.04066375,-0.04066375,0
Legg Mason,Envestnet,Envestnet,,Third Party Models Program,LM MDA 3 SMA,LMMDA3,Traditional,-,,Large Blend ,0.006,4.130435,0,0,0,0,4.016491,0,0,0,0,4.17328,0.005,0,0.005,0,4.273347,0,0,0,0,4.541993,0.035,0,0.035,0,4.519843,0.0118,0,0.0118,0,4.678443,0.002,0,0.002,0,4.958757,0.024,0,0.024,0,4.667328,0.0136,-0.194,-0.1804,0
Legg Mason,Envestnet,Envestnet,,Third Party Models Program,LM MDA 3 SMA,LMMDA3,Traditional,-,,Large Blend ,0,0.500853,0,0,0,0,0.511909,0,0,0,0,0.528863,0,0,0,0,0.541174,0,0,0,0,0.567182,0,0,0,0,0.577539,0,0,0,0,0.597122,0,0,0,0,0.62985,0,0,0,0,0,0,-0.632138,-0.632138,0
Legg Mason,Envestnet,Envestnet,,Third Party Models Program,LM MDA 3 SMA,LMMDA3,Traditional,-,,Large Blend ,0.001,0.493273,0,0,0,0,0.504529,0,0,0,0,0.52349,0,0,0,0,0.535301,0,0,0,0,0.563365,0,0,0,0,0.575122,0,0,0,0,0.594653,0,0,0,0,0.619378,0,-0.0075,-0.0075,0,0.60942,0,0,0,0
Legg Mason,Charles Schwab,Charles Schwab,,Managed Account Marketplace,LM MDA 3 SMA,LMMDA3,Dual Contract,-,,Large Blend ,0.005,0,0,0,0,0,2.15990797,2.15734317,0,2.15734317,0,2.25549827,0.0108,-0.00328959,0.00751041,0,3.88907184,1.53379538,-0.00537865,1.52841673,0,4.02834464,0.0916,-0.15880115,-0.06720115,0,8.41642722,4.3108,-0.00489229,4.30590771,0,8.40820047,0.0108,-0.31628345,-0.30548345,0,8.684189,0.00066089,-0.11050255,-0.10984166,0,10.49037502,2.0108,-0.01084715,1.99995285,0
Legg Mason,Pershing Advisor Solutions,Pershing Advisor Solutions,,Dual Contract Managed Account Program,LM MDA 3 SMA,LMMDA3,Dual Contract,-,,Large Blend ,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78476,0.79134,0,0.79134,0,1.134667,0.40899228,0,0.40899228,0,1.158831,0.00214614,-0.00077154,0.0013746,0,1.437916,0.24372652,0,0.24372652,0,1.510329,0.00071538,-0.00078357,-6.819E-05,0,1.409152,0.00338453,-0.02385261,-0.02046808,0
Legg Mason,-,Stifel,,Opportunity Program,LM MDA 4 Balanced Tax Favored 60/40 SMA,-,Traditional,-,,Allocation--50% to 70% Equity ,0.002,1.331126,0.49648,-0.02,0.47648,0,1.02436,0,-0.269818,-0.269818,0,1.069987,0,0,0,0,1.056639,0,0,0,0,1.096279,0,-0.011089,-0.011089,0,1.09754,0,-0.02947338,-0.02947338,0,1.103238,0.00616938,-0.036,-0.02983062,0,1.10208,0,-0.013,-0.013,0,1.106856,0,0,0,0
Legg Mason,-,UBS Financial,,Managed Account Consulting (MAC) (Eligible),LM MDA 4 Balanced Taxable 60/40 SMA,-,Dual Contract,-,,Allocation--50% to 70% Equity ,0.008,4.65730477,0.00229705,-0.2403229,-0.23802585,0,4.58045624,0.00080742,-0.10626916,-0.10546174,0,4.78719091,0.11502095,-0.10319868,0.01182227,0,4.69282838,0.03714428,-0.10868307,-0.07153879,0,5.19175953,1.35816323,-1.07332,0.28484323,0,6.37373949,0.91694162,-0.08807873,0.82886289,0,6.50809907,0,-0.09799766,-0.09799766,0,6.54409694,0.01056207,-0.21536479,-0.20480272,0,5.26647379,0.00151021,-1.34744103,-1.34593082,0
Legg Mason,-,Stifel,,Opportunity Program,LM MDA 4 Balanced Taxable 70/30 SMA,-,Traditional,-,,Allocation--50% to 70% Equity ,0.016,7.25174,2.12601,-0.01800081,2.10800919,0,7.520644,0.409056,-0.03059509,0.37846091,0,7.351001,0.0128884,-0.01052384,0.00236456,0,6.910303,0.01062499,-0.237838,-0.22721301,0,6.946039,0.05577038,-0.02169792,0.03407246,0,6.781742,0.40225,-0.76038871,-0.35813871,0,7.036383,0,0,0,0,7.306474,0,0,0,0,7.322755,0.00987865,0,0.00987865,0
Legg Mason,-,UBS Financial,,Managed Account Consulting (MAC) (Eligible),LM MDA 4 Balanced Taxable 70/30 SMA,-,Dual Contract,-,,Allocation--50% to 70% Equity ,0.002,0.90438703,0,-0.00929915,-0.00929915,0,0.9002945,0,-0.00922051,-0.00922051,0,0.94093933,0,-0.00925195,-0.00925195,0,0.92805258,0,-0.01109949,-0.01109949,0,0.97650281,0,-0.00982458,-0.00982458,0,1.00340602,0,-0.01013561,-0.01013561,0,1.03621528,0,-0.01033765,-0.01033765,0,1.07474879,0,-0.01051132,-0.01051132,0,1.06980725,0,-0.01851406,-0.01851406,0
Legg Mason,-,UBS Financial,,Managed Account Consulting (MAC) (Eligible),LM MDA 5 Balanced Tax Favored 70/30 SMA,-,Dual Contract,-,,Allocation--50% to 70% Equity ,0.002,1.80827419,0.00065009,-0.02497247,-0.02432238,0,1.81614931,0.08014953,-0.08574243,-0.0055929,0,1.87596743,0.00588221,-0.01035114,-0.00446893,0,1.84047653,0,-0.06975165,-0.06975165,0,1.80941192,0,-0.11132987,-0.11132987,0,1.83910543,0,-0.01685415,-0.01685415,0,1.87618734,0.00056462,-0.01307298,-0.01250836,0,1.94451625,0,-0.0066249,-0.0066249,0,1.92922186,0,-0.01050557,-0.01050557,0
Legg Mason,-,Stifel,,Opportunity Program,LM MDA 5 Balanced Taxable 60/40 SMA,-,Traditional,-,,Allocation--50% to 70% Equity ,0.004,0.275655,0,0,0,0,0.277431,0.001113,0,0.001113,0,0.285156,0,0,0,0,1.671038,1.378305,0,1.378305,0,2.668426,0.9235984,0,0.9235984,0,1.93266,0,-0.770837,-0.770837,0,1.936916,0,-0.03397544,-0.03397544,0,1.996793,0,0,0,0,1.986785,0,0,0,0
