"	FlowDate		SponsorFirm	SponsorFirmId	SmaStrategy		SmaProductType	SmaProductTypeCode		MorningstarStrategyId		Assets",,,
"P101	Q2-2017                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	AUM	0.6485",
"P101	Q3-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Advisors	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	R	-0.006",
"P101	Q3-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	AUM	0.6635",
"P101	Q3-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Advisors	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	AUM	0.5844",
"P101	Q3-2017                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Advisors	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	R	-0.006",
"P101	Q2-2017                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Advisors	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	R	-0.006",
"P101	Q2-2017                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	S	0.176",
"P101	Q3-2017                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	AUM	0.6765",
"P101	Q4-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Advisors	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	AUM	0.6031",
"P101	Q4-2017                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Advisors	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	AUM	0.6894",
"P101	Q3-2017                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Advisors	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	AUM	0.656",
"P101	Q4-2017                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	AUM	0.7171",
"P101	Q4-2017                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Advisors	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	R	-0.006",
"P101	Q4-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	AUM	0.4355",
"P101	Q4-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Advisors	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	R	-0.006",
"P101	Q4-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	R	-0.2425",
