AssetManager,TampRIAPlatform,SponsorFirm,SponsorFirmCode,SponsorFirmId,DoverSponsorFirmId,AdvisoryPlatform,SmaStrategy,MorningstarStrategyId,SmaProductType,SmaProductTypeCode,MorningstarClass,MorningstarClassId,Mstar classification_name,TotalAccounts,1Q 2016 a,1Q 2016 g,1Q 2016 r,1Q 2016 n,1Q 2016 d,2Q 2016 a,2Q 2016 g,2Q 2016 r,2Q 2016 n,2Q 2016 d,3Q 2016 a,3Q 2016 g,3Q 2016 r,3Q 2016 n,3Q 2016 d,4Q 2016 a,4Q 2016 g,4Q 2016 r,4Q 2016 n,4Q 2016 d,1Q 2017 a,1Q 2017 g,1Q 2017 r,1Q 2017 n,1Q 2017 d,2Q 2017 a,2Q 2017 g,2Q 2017 r,2Q 2017 n,2Q 2017 d,3Q 2017 a,3Q 2017 g,3Q 2017 r,3Q 2017 n,3Q 2017 d,4Q 2017 a,4Q 2017 g,4Q 2017 r,4Q 2017 n,4Q 2017 d,1Q 2018 a,1Q 2018 g,1Q 2018 r,1Q 2018 n,1Q 2018 d,2Q 2018 a,2Q 2018 g,2Q 2018 r,2Q 2018 n,2Q 2018 d
Lord Abbett & Co LLC,"Lockwood Financial Svcs., Inc.","Lockwood Financial Svcs., Inc.",Lockwood,169795,169795,Lockwood/Managed Account Command/Long (National) Muni,Long Municipal,SAUSA001R5,Traditional,Trad,Muni National Long,ML,Tax Free Fixed Income,4,1778102.85,0.5,0,0.5,N/A,1881628.84,0.1,0,0,N/A,1829500.97,0,0,0,N/A,1694438.32,0,0,0,N/A,1687809.95,0,0,0,N/A,1695995.07,0,0,0,N/A,1676049.97,0,0,0,N/A,1773781.85,0.1,0,0.1,N/A,1469119.06,0,-0.3,-0.3,N/A,1695443.78,0.2,0,0.2,N/A
Lord Abbett & Co LLC,"Lockwood Financial Svcs., Inc.","Lockwood Financial Svcs., Inc.",Lockwood,169795,169795,Lockwood/Managed Account Command/Long (National) Muni,Long Municipal,SAUSA001R5,Traditional,Trad,Muni National Long,ML,Tax Free Fixed Income,6,2270252.95,0,0,0,N/A,2452854.37,0.1,0,0.1,N/A,2404968.53,0,0,0,N/A,2273549.23,0,0,0,N/A,2357389.72,0.1,0,0.1,N/A,2388865.79,0,0,0,N/A,2392262.27,0.1,-0.1,0,N/A,2403691.18,0,0,0,N/A,2315461.71,0,0,0,N/A,2302470.3,0,0,0,N/A
Lord Abbett & Co LLC,"Lockwood Financial Svcs., Inc.","Lockwood Financial Svcs., Inc.",Lockwood,169795,169795,Lockwood/Managed Account Command/Long (National) Muni,Long Municipal,SAUSA001R5,Traditional,Trad,Muni National Long,ML,Tax Free Fixed Income,2,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,689081.86,0.4,0,0.4,N/A,410984.98,0,-0.3,-0.3,N/A,417128.07,,,,N/A,411077.3,,,,N/A,311714.63,0,-0.1,-0.1,N/A
Lord Abbett & Co LLC,"Lockwood Financial Svcs., Inc.","Lockwood Financial Svcs., Inc.",Lockwood,169795,169795,Lockwood/Managed Account Command/Long (National) Muni,Long Municipal,SAUSA001R5,Traditional,Trad,Muni National Long,ML,Tax Free Fixed Income,1,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A
Lord Abbett & Co LLC,"Lockwood Financial Svcs., Inc.","Lockwood Financial Svcs., Inc.",Lockwood,169795,169795,Envestnet/Separate Account Program/Long (National) Muni,Long Municipal,SAUSA001R5,Traditional,Trad,Muni National Long,ML,Tax Free Fixed Income,1,434109.63,,,,N/A,446769.55,,,,N/A,440466.63,0,0,0,N/A,419255.13,0.1,-0.1,0,N/A,348399.06,0,-0.1,-0.1,N/A,357099.47,,,,N/A,359941.09,,,,N/A,364959.15,,,,N/A,356529.14,,,,N/A,307687.43,0,-0.1,-0.1,N/A
Lord Abbett & Co LLC,"Lockwood Financial Svcs., Inc.","Lockwood Financial Svcs., Inc.",Lockwood,169795,169795,Lockwood/Lockwood Sponsored Program/Long (National) Muni,Long Municipal,SAUSA001R5,Traditional,Trad,Muni National Long,ML,Tax Free Fixed Income,2,2206285.68,0,0,0,N/A,2220947.22,0,-0.1,-0.1,N/A,2165666.05,0,0,0,N/A,2027400.06,0,0,0,N/A,1999007.43,0,-0.1,-0.1,N/A,1995750.64,0,0,0,N/A,1975363.24,0,0,0,N/A,1954345.55,0,0,0,N/A,1854599.48,0,-0.1,-0.1,N/A,1780874.57,0,-0.1,-0.1,N/A
Lord Abbett & Co LLC,"Lockwood Financial Svcs., Inc.","Lockwood Financial Svcs., Inc.",Lockwood,169795,169795,Lockwood/Managed Account Command/Long (National) Muni,Long Municipal,SAUSA001R5,Traditional,Trad,Muni National Long,ML,Tax Free Fixed Income,1,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,252235.62,0.3,0,0.3,N/A
Lord Abbett & Co LLC,"Lockwood Financial Svcs., Inc.","Lockwood Financial Svcs., Inc.",Lockwood,169795,169795,Lockwood/Lockwood Sponsored Program/Long (National) Muni,Long Municipal,SAUSA001R5,Traditional,Trad,Muni National Long,ML,Tax Free Fixed Income,8,1334253.25,0.8,-0.1,0.7,N/A,2597954.08,1.2,-0.3,0.9,N/A,2821996.05,0.5,0,0.5,N/A,2647272.59,0,0,0,N/A,301269.06,0,-2.1,-2.1,N/A,304336.67,0,0,0,N/A,305059.47,0,0,0,N/A,307487.37,0,0,0,N/A,297761.38,0,0,0,N/A,297657.47,0,0,0,N/A
Lord Abbett & Co LLC,"Charles Schwab Investment Management, Inc.","Cetera (First Allied Securities, Inc.)",Cetera,10299,10299,Charles Schwab/Marketplace/Municipal 1-5 Year Ladder ,Laddered Municipal,F00000IMK,Dual Contract,Dual,Muni National Short,MS,Tax Free Fixed Income,1,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A
Lord Abbett & Co LLC,"Charles Schwab Investment Management, Inc.","HighTower Securities, LLC",High Tower,116681,116681,Charles Schwab/Marketplace/Municipal 1-10 Year Ladder ,Laddered Municipal,F00000IML,Dual Contract,Dual,Muni National Intermediate,MI,Tax Free Fixed Income,1,,,,,N/A,2005979.63,0,0,0,N/A,1985814.91,0,0,0,N/A,1913424.22,0,0,0,N/A,1929572.47,0,0,0,N/A,1964869.39,0,0,0,N/A,1975179.3,0,0,0,N/A,1958810.86,0,0,0,N/A,,,,,N/A,,,,,N/A
